Date,district_EN,subdistrict_EN,subdistrict_ZH,street_EN,street_ZH,building_name_EN,building_name_ZH,property_type_EN,property_type_ZH,floor_ZH,unit_ZH,site_area_EN,existing_gfa_breakdown,existing_gfa_total,txn_amt, unit_rate_1 ,potential_gfa,av,planning_use_ZH,photo_name,vendor_ZH,buyer_ZH,remark,link,Column1,_longitude_lands,_latitude_lands,_easting_lands,_northing_lands,longitude_lands,latitude_lands,easting_lands,northing_lands
31/12/2021,HK,SKW,筲箕灣,8 A Kung Ngam Village Road,阿公岩村道8號,Elegance Printing Centre,精雅印刷集團大廈,Industrial Building,工業大廈,全幢,,,"69,680",69680,500,"7,175.66",NA,NA,其他指定用途,akungngamvillageroad8.jpg,MR TANG,STRG PROPCO C LIMITED,,https://www.hk01.com/%E5%9C%B0%E7%94%A2%E6%A8%93%E5%B8%82/696973/%E9%84%A7%E6%88%90%E6%B3%A2%E7%AD%B2%E7%AE%95%E7%81%A3%E5%85%A8%E5%B9%A2%E5%B7%A5%E5%BB%88%E7%8D%B25%E5%84%84%E6%B4%BD%E8%B3%BC-%E6%B6%88%E6%81%AF%E6%8C%87%E4%BA%A4%E6%98%93%E6%9A%AB%E6%9C%AA%E8%90%BD%E5%AF%A6,,114.2324,22.2815,841990.3,815848.2,114.2324,22.2815,841990.3,815848.2
8/1/2019,HK,ABD,香港仔,322 Ap Lei Chau Bridge Road,鴨利洲橋道322號,Lei Yee House,利怡樓,Shop,商舖,全幢,,,"46,779",46779,1041,"22,253.58",NA,NA,住宅（甲類）,apleichaubridgeroad322.jpg,無原業主資料,CENTURY WORLD LIMITED,,,,114.1486,22.2447,833353.4,811772.4,114.1486,22.2447,833353.4,811772.4
7/2/2020,HK,CRL,中環,2 Arbuthnot Road,亞畢諾道2號,Ovolo,,Hotel,酒店,全幢,,,"30,949",30949,523,"16,898.77",NA,NA,住宅（甲類）,arbuthnotroad2.jpg,MS LAW,SPEEDY BILLION LIMITED,,,,114.1546,22.2803,833972.4,815714.4,114.1546,22.2803,833972.4,815714.4
9/3/2018,HK,CRL,中環,68 Bonham Road,般咸道68號,Wilton Place,蔚庭軒,Shop,商舖,地下,3,NA,"3,500",3500,105,"30,000.00",NA,NA,住宅（甲類）,bonhamroad68.jpg,MR TING,MEDIEVAL TRADING LIMITED,銀行,,,114.1428,22.2842,832756.5,816146.5,114.1428,22.2842,832756.5,816146.5
14/9/2018,HK,SWA,上環,96 Bonham Strand,文咸東街96號,,,Composite Building,商住大廈,全幢,,,"4000
1600",5600,138,"24,642.86",NA,NA,商業,bonhamstrand96.jpg,MR NG,EVW LIMITED,,https://hk.on.cc/hk/bkn/cnt/finance/20180814/bkn-20180814185957079-0814_00842_001.html,,114.1503,22.2862,833529.4,816367.8,114.1503,22.2862,833529.4,816367.8
11/5/2020,HK,SWA,上環,98 Bonham Strand,文咸東街98號,,,Composite Building,商住大廈,全幢,,,"1500
900",2400,155,"64,583.33",NA,NA,商業,bonhamstrand98.jpg,MS LOK,CERANA LIMITED,,,,114.1503,22.2862,833529.4,816367.8,114.1503,22.2862,833529.4,816367.8
8/12/2021,HK,WCI,灣仔,15 Canal Road West,堅拿道西15號,Wing Tak Mansion,永德大廈,Shop,商舖,地下,"G08,09 ",NA,"1,000",1000,160,"160,000.00",NA,NA,其他指定用途,canalroadwest15.jpg,教協,VITAL LIVING ALLIANCE LIMITED,餐廳,,,114.1808,22.278,836672.6,815459.6,114.1808,22.278,836672.6,815459.6
27/9/2019,HK,WES,西環,47 Catchick Street,吉席街47號,Kuk Fung Building,吉豐大廈,Composite Building,商住大廈,全幢,,5294,NA,NA,665, NA ,"49,446",13449.02,住宅（甲類）,catchickstreet47.jpg,Mr YEUNG,Mr YEUNG,,https://ps.hket.com/article/1981213,,114.1276,22.2831,831190,816025.2,114.1276,22.2831,831190,816025.2
30/3/2021,HK,WES,西環,93-95 Catchick Street,吉席街93-95號,,,CAP545,強拍,全幢,,"2,182",,,190,,"19,600",9694,住宅（甲類）,catchickstreet93-95.jpg,無原業主資料,永義國際,強拍，地積比率約9倍,https://ps.hket.com/article/2897107,,114.1269,22.2832,831117.8,816036.3,114.1269,22.2832,831117.8,816036.3
27/9/2019,HK,CWA,柴灣,341-343A Chai Wan Road,柴灣道341-343（A）號,Tak Hay House,德禧樓,Shop,商舖,地下,1,NA,"4,600",4600,120,"26,086.96",NA,NA,住宅（甲類）,chaiwanroad341-343a.jpg,無原業主資料,Mr EDWIN LEONG SIU HUNG,,,,114.2399,22.2641,842764.1,813921.7,114.2399,22.2641,842764.1,813921.7
